phen,Num,log10Num,num_seg,C_score,Nloci
0.4,38760,4.58838376837873,31,21.3533585343318,2%
0.5,15504,4.19044375970669,27,19.9383309664542,2%
0.5,15504,4.19044375970669,33,15.9750380829067,2%
0.5,15504,4.19044375970669,31,22.6736830339702,2%
0.6,4845,3.68529378138678,35,16.7620318198829,2%
0.5,15504,4.19044375970669,33,22.0253067526774,2%
0.5,15504,4.19044375970669,29,13.7837906304253,2%
0.5,15504,4.19044375970669,35,17.7765507290448,2%
0.6,4845,3.68529378138678,33,20.7229674889918,2%
0.6,4845,3.68529378138678,37,16.9556723727097,2%
0.5,15504,4.19044375970669,28,18.133520247748,2%
0.5,15504,4.19044375970669,34,20.428494827046,2%
0.6,4845,3.68529378138678,32,23.7476313712155,2%
0.7,1140,3.05690485133647,36,18.0656322380757,2%
NA,NA,NA,30,20.8065777584927,2%
0.6,4845,3.68529378138678,28,16.5148486238031,2%
0.6,4845,3.68529378138678,32,16.4200488704511,2%
0.6,4845,3.68529378138678,34,16.8580052658187,2%
0.6,4845,3.68529378138678,38,19.1877633218353,2%
0.7,1140,3.05690485133647,36,22.8140812035919,2%
0.6,14307150,7.15555313043729,45,21.242647501432,3%
0.6,14307150,7.15555313043729,50,18.4467690377785,3%
0.6,14307150,7.15555313043729,58,22.1305596763111,3%
0.5,30045015,7.47777242517121,59,21.0650070757055,3%
0.6,14307150,7.15555313043729,49,20.6682141006478,3%
0.6,14307150,7.15555313043729,46,22.0542621863853,3%
0.6,14307150,7.15555313043729,52,20.4754952020457,3%
0.6,14307150,7.15555313043729,50,22.2730796528357,3%
0.5,30045015,7.47777242517121,54,16.486893738699,3%
0.6,14307150,7.15555313043729,39,20.030231640638,3%
0.6,14307150,7.15555313043729,47,15.403370229544,3%
0.5,30045015,7.47777242517121,48,18.0394280203656,3%
0.6,14307150,7.15555313043729,38,20.5869419392892,3%
0.6,14307150,7.15555313043729,35,22.7394261752708,3%
0.6,14307150,7.15555313043729,41,19.3629313471819,3%
0.6,14307150,7.15555313043729,39,13.4054275125882,3%
0.5,30045015,7.47777242517121,43,14.1149128467587,3%
0.6,14307150,7.15555313043729,52,15.7770156936576,3%
0.5,30045015,7.47777242517121,53,19.3832806672299,3%
0.6,14307150,7.15555313043729,43,20.1466898955534,3%
0.6,14307150,7.15555313043729,40,17.0974896290359,3%
